DATAFLOW,LAST UPDATE,freq,unit,ind_use,stk_flow,prd_ava,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2011,14085.08,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2012,13967.08,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2013,13799.38,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2014,14581.2,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2015,15419.22,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2016,16075.5,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2017,17433.03,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2018,17833.94,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2019,17844.68,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2020,16181.4,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2021,18954.84,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2022,21705,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Czechia,2023,22102.48,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2010,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2011,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2012,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2013,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2014,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2015,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2016,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2017,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2018,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2019,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Germany,2020,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2010,4670.41,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2011,4959.54,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2012,5147.01,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Total,Rubber and plastic products,Denmark,2013,5092.39,,
