DATAFLOW,LAST UPDATE,freq,waste,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2011,15184,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2012,15221,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2013,15728,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2014,15822,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2015,16099,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2016,16470,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2017,17592,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2018,17376,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2019,18196,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2020,18092,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2021,20608,be,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Cyprus,2022,21875,be,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2010,209550,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2011,209414,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2012,211660,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2013,215122,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2014,218871,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2015,247328,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2016,236891,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2017,249885,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2018,267478,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2019,264276,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2020,264453,bd,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2021,284679,d,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Czechia,2022,278054,b,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2010,2690100,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2011,2775800,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2012,2836700,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2013,2873300,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2014,2945600,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2015,3052200,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2016,3097700,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2017,3184900,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2018,3235800,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2019,3249700,b,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2020,3302500,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2021,3418821,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Germany,2022,3309130,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2010,165449,e,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2011,188261,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2012,183697,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2013,190043,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2014,187472,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2015,197030,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2016,214593,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2017,200662,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2018,248420,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2019,231405,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2020,229000,b,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2021,212581,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Denmark,2022,211481,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2010,50884,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Estonia,2011,52006,e,
