DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2009,82.1,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2010,88.8,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2011,91.2,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2012,90.6,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2013,92.1,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2014,96.6,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2015,99.8,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2016,104.1,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2017,107.3,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Germany,2018,110.2,,
