DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2023,1356262.50,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2010,2520510.94,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2011,2920932.87,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2012,2858428.91,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2013,2451166.34,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2014,2278622.08,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2015,2161583.80,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2016,1903580.67,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2017,1810332.09,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2018,1714528.29,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2019,1763083.50,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2020,1593262.06,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2021,1694667.14,
