DATAFLOW,LAST UPDATE,freq,unit,hazard,wst_oper,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Germany,2020,26,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Germany,2022,27,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2010,12,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2012,12,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2014,11,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2016,13,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2018,10,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2020,12,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Denmark,2022,9,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2010,2,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2012,2,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2014,8,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2016,8,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2018,15,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2020,19,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Estonia,2022,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2010,2,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2012,3,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2014,3,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2016,4,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2018,3,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2020,6,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Greece,2022,5,p,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2010,25,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2012,23,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2014,20,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2016,13,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2018,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2020,12,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Spain,2022,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2010,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2012,15,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2014,18,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2016,17,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2018,18,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2020,18,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2022,21,i,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2010,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2012,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2014,17,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2016,16,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2018,17,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2010,4,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2012,2,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2014,1,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2016,5,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2018,8,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2020,7,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2022,6,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2010,4,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2012,3,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2014,4,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2016,5,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2018,5,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2020,4,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2022,5,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2010,2,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2012,5,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2014,11,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2016,6,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2018,11,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2020,11,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2022,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2010,6,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2012,9,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2014,12,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2016,13,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2018,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2020,15,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2022,17,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2010,18,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2012,16,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2014,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2016,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2018,12,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2020,2,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2010,12,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2012,15,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2014,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2016,21,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2018,27,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2020,17,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2010,28,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2012,23,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2014,34,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2016,28,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2018,28,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2020,24,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2022,32,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Lithuania,2010,6,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Lithuania,2012,9,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Lithuania,2014,9,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Lithuania,2016,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Lithuania,2018,13,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Lithuania,2020,32,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Lithuania,2022,38,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Luxembourg,2010,30,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Luxembourg,2012,22,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Luxembourg,2014,41,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Luxembourg,2016,21,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Luxembourg,2018,19,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Luxembourg,2020,19,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Luxembourg,2022,9,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Latvia,2010,14,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Latvia,2012,17,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Latvia,2014,20,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Latvia,2016,29,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Latvia,2018,26,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Latvia,2020,31,,
