DATAFLOW,LAST UPDATE,freq,unit,hazard,wst_oper,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2018,1684827,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2020,1405646,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2022,1865299,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Netherlands,2010,282215,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Netherlands,2012,379681,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Netherlands,2014,350182,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Netherlands,2016,291173,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Netherlands,2018,441768,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Netherlands,2020,465137,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Netherlands,2022,545791,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Türkiye,2010,174431,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Türkiye,2012,328218,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Türkiye,2014,756546,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Türkiye,2016,1041842,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Türkiye,2018,2000359,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Türkiye,2020,3019949,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Türkiye,2022,2250495,,
