DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2005,8.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2006,20.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2007,19.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2008,15.6,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2009,30,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2010,40.9,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2011,39.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2012,40.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2013,41.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2014,64.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2015,60.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2016,52.6,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2017,64.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2018,59.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2019,50.6,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2021,47.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Bulgaria,2022,39.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2004,9,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2005,8.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2006,14.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2007,14.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2008,14.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2009,18.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2010,27.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2011,38,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2012,44.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2013,45.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2014,46.6,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2015,63.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2016,62.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2017,65,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2018,54.3,e,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2019,50.5,e,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2020,48.6,e,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2021,37.9,be,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2022,39.1,be,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2003,37.6,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2004,43.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2005,35,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2006,44.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2007,45.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2008,50.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2009,52.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2010,54,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2011,57,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2012,58.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2013,59.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2014,58.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2015,61.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2016,59.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2017,58.6,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2018,57,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2019,61,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2020,41.8,bd,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2021,45.1,d,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2022,47.2,bd,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2000,53.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2001,51.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2002,49,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2003,38,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2004,33.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2005,35.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2006,38.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2007,40.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2008,44.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2009,46.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2010,45.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2011,46.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2012,47,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2013,46.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2014,47.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2015,47.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2016,48.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2017,48,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2018,46.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2019,43.3,b,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2020,46.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2021,48.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2022,51.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2000,12.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2001,13.9,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2002,15.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2003,17.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2004,16.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2005,19.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2006,20.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2007,21.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2008,25.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2009,26.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2010,26.4,e,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2011,22.3,b,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2012,25.9,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2013,29.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2014,30.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2015,30.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2016,36.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2017,41.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2018,31.3,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2019,37.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2020,22.9,b,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2021,20.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2022,23.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2004,12,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2005,25.5,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2006,33.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2007,38.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2008,22,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2009,22.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2010,33.4,,
