DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2015,63.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2016,62.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2017,65,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2018,54.3,e,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2019,50.5,e,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2020,48.6,e,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2021,37.9,be,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Cyprus,2022,39.1,be,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2010,54,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2011,57,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2012,58.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2013,59.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2014,58.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2015,61.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2016,59.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2017,58.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2018,57,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2019,61,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2020,41.8,bd,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2021,45.1,d,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Czechia,2022,47.2,bd,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2010,45.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2011,46.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2012,47,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2013,46.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2014,47.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2015,47.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2016,48.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2017,48,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2018,46.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2019,43.3,b,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2020,46.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2021,48.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Germany,2022,51.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2010,26.4,e,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2011,22.3,b,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2012,25.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2013,29.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2014,30.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2015,30.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2016,36.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2017,41.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2018,31.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2019,37.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2020,22.9,b,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2021,20.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Denmark,2022,23.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2010,33.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2011,39.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2012,29.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2013,28.1,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Estonia,2014,29.3,,
