DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2022,18283.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2023,18647.9,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2010,392723.3,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2011,400307.4,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2012,401171.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2013,402396.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2014,409501.3,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2015,415538.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2016,420497.5,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2017,426697.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2018,434710.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2019,445330.3,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2020,423985.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2021,450283.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2022,469346.1,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2023,475220.9,p,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Belgium,2024,479952.3,p,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2010,42891.4,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2011,43787.9,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2012,44115.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2013,43876.4,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2014,44292.9,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2015,45797.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2016,47184.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2017,48479.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2018,49715.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2019,51599.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2020,49939.9,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2021,53825.5,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2022,55999.4,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2023,57056.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Bulgaria,2024,58659.8,p,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2010,573414.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2011,583811.3,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2012,590695.9,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2013,601282.1,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2014,615411.5,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2015,625532.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2016,638473.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2017,647174.1,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2018,665686.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2019,673288.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2020,658868.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2021,695498.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2022,716670.1,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2023,721567.4,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Switzerland,2024,730964.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2010,19504.3,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2011,19585.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2012,18910.4,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2013,17664.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2014,17350.9,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2015,17944.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2016,19123.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2017,20223.5,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2018,21491.9,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2019,22754.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2020,22021.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2021,24529.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2022,26336.3,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Cyprus,2023,27024.2,,
